"customername","customerkey","gender","yearlyincome","city","country","state"
"Dominic Sara",13836,"M","30000.00","Hof","Germany","Bayern"
"Alyssa Lee",13837,"F","30000.00","Hof","Germany","Bayern"
"Jill Rubio",13838,"F","30000.00","Oxford","United Kingdom","England"
"Manuel Madan",13839,"M","10000.00","Roissy en Brie","France","Seine et Marne"
"Tommy Pal",13840,"M","10000.00","Boulogne-sur-Mer","France","Pas de Calais"
"Clayton Kumar",13841,"M","20000.00","York","United Kingdom","England"
"Kenneth Xie",13842,"M","20000.00","Braunschweig","Germany","Nordrhein-Westfalen"
"Warren Xie",13843,"M","30000.00","Saint Germain en Laye","France","Yveline"
"Phillip Mehta",13844,"M","30000.00","Paderborn","Germany","Hamburg"
"Shawn Nara",13845,"M","40000.00","Kirkby","United Kingdom","England"
"Lisa Zheng",13846,"F","40000.00","Newcastle upon Tyne","United Kingdom","England"
"Kurt Tang",13847,"M","40000.00","Oxford","United Kingdom","England"
"Melissa Blue",13848,"F","40000.00","W. Linn","United States","Oregon"
"Preston Rodriguez",13849,"M","40000.00","Beaverton","United States","Oregon"
"Anthony Thompson",13850,"M","40000.00","Beverly Hills","United States","California"
"Seth Moore",13851,"M","40000.00","Port Hammond","Canada","British Columbia"
"Ian Robinson",13852,"M","50000.00","N. Vancouver","Canada","British Columbia"
"Connor Zhang",13853,"M","50000.00","Newton","Canada","British Columbia"
"Kyle Parker",13854,"M","50000.00","Chula Vista","United States","California"
"Sarah Washington",13855,"F","50000.00","Colma","United States","California"
"Ian Scott",13856,"M","40000.00","Lincoln Acres","United States","California"
"Victoria Thompson",13857,"F","60000.00","Woodburn","United States","Oregon"
"Melanie Richardson",13858,"F","60000.00","San Diego","United States","California"
"Kristin Deng",13859,"F","60000.00","Burlingame","United States","California"
"Olivia Watson",13860,"F","40000.00","Haney","Canada","British Columbia"
"Hailey Rogers",13861,"F","60000.00","Renton","United States","Washington"
"Kevin Long",13863,"M","60000.00","Berkeley","United States","California"
"Robin Torres",13864,"F","60000.00","Berkeley","United States","California"
"Mariah Foster",13865,"F","70000.00","Novato","United States","California"
"Mya Butler",13866,"F","70000.00","San Diego","United States","California"
"Luke Griffin",13867,"M","50000.00","Lynnwood","United States","Washington"
"Shelby Morris",13868,"F","60000.00","Salem","United States","Oregon"
"Anna Morgan",13869,"F","50000.00","Burlingame","United States","California"
"Jonathan Clark",13870,"M","50000.00","Lebanon","United States","Oregon"
"Sarah Gonzales",13871,"F","50000.00","Palo Alto","United States","California"
"Alyssa Henderson",13872,"F","60000.00","Marysville","United States","Washington"
"Russell Jai",13873,"M","70000.00","Concord","United States","California"
"Alyssa Bryant",13874,"F","60000.00","Grossmont","United States","California"
"Samantha Williams",13875,"F","60000.00","El Cajon","United States","California"
"Sebastian Murphy",13876,"M","60000.00","Chula Vista","United States","California"
"Adam Lal",13877,"M","60000.00","Lakewood","United States","California"
"Sebastian Gray",13878,"M","60000.00","Oak Bay","Canada","British Columbia"
"Derrick Hernandez",13879,"M","60000.00","Bellflower","United States","California"
"Marshall Kumar",13880,"M","60000.00","Burien","United States","Washington"
"Jasmine Wood",13881,"F","60000.00","Yakima","United States","Washington"
"Mariah Russell",13882,"F","40000.00","Imperial Beach","United States","California"
"Brandon Lal",13883,"M","40000.00","Long Beach","United States","California"
"Jada Rogers",13884,"F","40000.00","Bellingham","United States","Washington"
"Brian Howard",13885,"M","70000.00","Tacoma","United States","Washington"
"Rachel Taylor",13886,"F","70000.00","Colma","United States","California"
"Nathan Scott",13887,"M","80000.00","Spring Valley","United States","California"
"Ian Brown",13888,"M","70000.00","Everett","United States","Washington"
"Robert Martin",13889,"M","60000.00","Lebanon","United States","Oregon"
"Jennifer Carter",13890,"F","60000.00","Beaverton","United States","Oregon"
"Aaron Simmons",13891,"M","60000.00","Lakewood","United States","California"
"Spencer Diaz",13892,"M","60000.00","Milwaukie","United States","Oregon"
"Dalton Carter",13893,"M","70000.00","Beaverton","United States","Oregon"
"Robyn Ruiz",13894,"F","70000.00","Bremerton","United States","Washington"
"Isabella Brooks",13895,"F","70000.00","Bremerton","United States","Washington"
"Hailey Mitchell",13896,"F","70000.00","Burien","United States","Washington"
"Carol Washington",13897,"M","70000.00","Burien","United States","Washington"
"Richard Baker",13898,"M","70000.00","Corvallis","United States","Oregon"
"Cameron Jones",13899,"M","70000.00","Olympia","United States","Washington"
"Isaac Campbell",13900,"M","70000.00","Olympia","United States","Washington"
"Oscar Foster",13901,"M","70000.00","W. Linn","United States","Oregon"
"Jeremiah Simmons",13902,"M","70000.00","Concord","United States","California"
"Elijah Hernandez",13903,"M","80000.00","El Cajon","United States","California"
"Natalie Thompson",13904,"F","80000.00","Imperial Beach","United States","California"
"Christian Henderson",13905,"M","80000.00","La Jolla","United States","California"
"Courtney Evans",13906,"F","40000.00","Olympia","United States","Washington"
"Misty Xie",13907,"F","80000.00","Bremerton","United States","Washington"
"Alyssa Diaz",13908,"F","80000.00","Cliffside","Canada","British Columbia"
"Riley Price",13909,"F","80000.00","Haney","Canada","British Columbia"
"Isabelle Butler",13910,"F","80000.00","Sedro Woolley","United States","Washington"
"Andrea Kelly",13911,"F","80000.00","Seattle","United States","Washington"
"Caroline Simmons",13912,"F","80000.00","Coronado","United States","California"
"Angela Rogers",13913,"F","80000.00","Berkeley","United States","California"
"Abigail Bell",13914,"F","40000.00","Chula Vista","United States","California"
"Allison King",13915,"F","50000.00","Glendale","United States","California"
"Eduardo Ward",13916,"M","50000.00","Westminster","Canada","British Columbia"
"Samuel Allen",13917,"M","50000.00","Novato","United States","California"
"Armando Blanco",13918,"M","50000.00","Burnaby","Canada","British Columbia"
"Grace Smith",13919,"F","70000.00","Glendale","United States","California"
"Amanda Rogers",13920,"F","50000.00","Sooke","Canada","British Columbia"
"Joseph Jones",13921,"M","60000.00","Concord","United States","California"
"Jackson Foster",13922,"M","60000.00","Salem","United States","Oregon"
"Steven Howard",13923,"M","60000.00","Grossmont","United States","California"
"Hannah Hall",13924,"F","60000.00","San Diego","United States","California"
"Wyatt Barnes",13925,"M","60000.00","Redwood City","United States","California"
"Dalton Hill",13926,"M","60000.00","Ballard","United States","Washington"
"Gabriel Gonzales",13927,"M","60000.00","Bellflower","United States","California"
"Nathaniel Morris",13928,"M","60000.00","Tacoma","United States","Washington"
"Robert Hayes",13929,"M","40000.00","Lake Oswego","United States","Oregon"
"Samantha Coleman",13930,"F","70000.00","W. Linn","United States","Oregon"
"Luke Hernandez",13931,"M","70000.00","Redmond","United States","Washington"
"Timothy Sanchez",13932,"M","40000.00","El Cajon","United States","California"
"Isabella Richardson",13933,"F","60000.00","Torrance","United States","California"
"Luis Young",13934,"M","40000.00","Issaquah","United States","Washington"
"Kimberly Sanchez",13935,"F","40000.00","Oakland","United States","California"
"Nathan Wilson",13936,"M","70000.00","Langley","Canada","British Columbia"
"Victoria Ware",13937,"F","70000.00","Milwaukie","United States","Oregon"
"Alejandro Cai",13938,"M","60000.00","Bellflower","United States","California"
"Eduardo Ramirez",13939,"M","60000.00","Burbank","United States","California"
"Emma Simmons",13940,"F","60000.00","Long Beach","United States","California"
"Brittany Hayes",13941,"F","60000.00","Port Hammond","Canada","British Columbia"
"Seth Long",13942,"M","60000.00","Downey","United States","California"
"Kelly Bryant",13943,"F","60000.00","Los Angeles","United States","California"
"Andrew Moore",13944,"M","60000.00","Newton","Canada","British Columbia"
"Yolanda Luo",13945,"F","60000.00","Bellingham","United States","Washington"
"Jason Powell",13946,"M","60000.00","Portland","United States","Oregon"
"Megan Hughes",13947,"F","70000.00","Oregon City","United States","Oregon"
"Susan Ma",13948,"F","80000.00","Berkeley","United States","California"
"Dwayne Ramos",13949,"M","80000.00","Berkeley","United States","California"
"Meredith Hernandez",13950,"F","70000.00","Bellingham","United States","Washington"
"Dylan Hughes",13951,"M","60000.00","Spokane","United States","Washington"
"Franklin Ye",13952,"M","90000.00","Melton","Australia","Victoria"
"Theresa Munoz",13953,"F","100000.00","Newcastle","Australia","New South Wales"
"Eddie Ramos",13954,"M","60000.00","Hawthorne","Australia","Queensland"
"Andres Raji",13955,"M","90000.00","Wollongong","Australia","New South Wales"
"Dawn Ma",13956,"F","70000.00","Silverwater","Australia","New South Wales"
"Meredith Munoz",13957,"F","60000.00","Caloundra","Australia","Queensland"
"Diane Martin",13958,"F","70000.00","Warrnambool","Australia","Victoria"
"Ebony Carlson",13959,"F","120000.00","Melton","Australia","Victoria"
"Lacey Kumar",13960,"F","70000.00","Silverwater","Australia","New South Wales"
"Shawna Raji",13961,"F","80000.00","Sunbury","Australia","Victoria"
"Dawn Li",13962,"F","80000.00","Springwood","Australia","New South Wales"
"Veronica Patel",13963,"F","80000.00","Hobart","Australia","Tasmania"
"Jasmine Lewis",13964,"F","90000.00","Sydney","Australia","New South Wales"
"Barry Sara",13965,"M","90000.00","Hervey Bay","Australia","Queensland"
"Darren Dominguez",13966,"M","90000.00","Darlinghurst","Australia","New South Wales"
"Glenn Zhang",13967,"M","60000.00","Warrnambool","Australia","Victoria"
"Lydia Sai",13968,"F","60000.00","St. Leonards","Australia","New South Wales"
"Roy Martinez",13969,"M","70000.00","Gold Coast","Australia","Queensland"
"Pedro Rana",13970,"M","70000.00","Hawthorne","Australia","Queensland"
"Bianca Zhao",13971,"F","70000.00","Hervey Bay","Australia","Queensland"
"Eugene Liang",13972,"M","70000.00","Perth","Australia","South Australia"
"Bethany Shan",13973,"F","60000.00","Cloverdale","Australia","South Australia"
"Tina Chandra",13974,"F","60000.00","Milsons Point","Australia","New South Wales"
"Johnny Raje",13975,"M","60000.00","Hobart","Australia","Tasmania"
"Emmanuel Smith",13976,"M","100000.00","Bremerton","United States","Washington"
"Alexandra Brown",13977,"F","100000.00","Issaquah","United States","Washington"
"Zoe Peterson",13978,"F","100000.00","Renton","United States","Washington"
"Chloe Jenkins",13979,"F","40000.00","Puyallup","United States","Washington"
"Margaret Liu",13980,"F","30000.00","Beverly Hills","United States","California"
"Joy Carlson",13981,"F","10000.00","Hobart","Australia","Tasmania"
"Clarence Chander",13982,"M","20000.00","North Sydney","Australia","New South Wales"
"Logan Collins",13983,"M","20000.00","Port Macquarie","Australia","New South Wales"
"Adrian Richardson",13984,"M","60000.00","San Diego","United States","California"
"Alexis Wood",13985,"F","60000.00","Spring Valley","United States","California"
"Chloe Anderson",13986,"F","60000.00","Spring Valley","United States","California"
"Eduardo Collins",13987,"M","40000.00","Langley","Canada","British Columbia"
"Miguel White",13988,"M","40000.00","Newton","Canada","British Columbia"
"Chloe Bradley",13989,"F","40000.00","Burien","United States","Washington"
"Stephanie Wood",13990,"F","40000.00","Salem","United States","Oregon"
"Jack Hayes",13991,"M","40000.00","Sedro Woolley","United States","Washington"
"Gregory Xie",13992,"M","60000.00","Burlingame","United States","California"
"Zachary Patterson",13993,"M","60000.00","Burlingame","United States","California"
"Isaac Cook",13994,"M","30000.00","Sydney","Australia","New South Wales"
"Michele Black",13995,"F","20000.00","Melbourne","Australia","Victoria"
"Marie Perez",13996,"F","20000.00","North Ryde","Australia","New South Wales"
"Raquel Hernandez",13997,"F","30000.00","Perth","Australia","South Australia"
"Ethan Martin",13998,"M","10000.00","Cranbourne","Australia","Victoria"
"Elijah Gonzales",13999,"M","70000.00","Oakland","United States","California"
"Terry Sharma",14000,"M","40000.00","Beaverton","United States","Oregon"
"Hunter Hill",14001,"M","40000.00","Beaverton","United States","Oregon"
"Jacqueline Reed",14002,"F","30000.00","Burien","United States","Washington"
"Angel Ramirez",14003,"M","30000.00","Portland","United States","Oregon"
"Caitlin Kelly",14004,"F","60000.00","Daly City","United States","California"
"Noah Hughes",14005,"M","70000.00","Redwood City","United States","California"
"Brianna Walker",14006,"F","70000.00","San Carlos","United States","California"
"Rebekah Garcia",14007,"F","10000.00","Coffs Harbour","Australia","New South Wales"
"Karen Liu",14008,"F","10000.00","Geelong","Australia","Victoria"
"Brandy Prasad",14009,"F","20000.00","Seaford","Australia","Victoria"
"Thomas Moore",14010,"M","30000.00","Melton","Australia","Victoria"
"Roger Shen",14011,"M","30000.00","St. Leonards","Australia","New South Wales"
"Eddie Vazquez",14012,"M","40000.00","Townsville","Australia","Queensland"
"Jimmy Blanco",14013,"M","30000.00","Hobart","Australia","Tasmania"
"Leslie Serrano",14014,"F","30000.00","Lane Cove","Australia","New South Wales"
"Kurt Lal",14015,"M","30000.00","Sunbury","Australia","Victoria"
"Mary Sandidge",14016,"M","30000.00","Milsons Point","Australia","New South Wales"
"Chloe Rodriguez",14017,"F","60000.00","San Diego","United States","California"
"Nina Rai",14018,"F","30000.00","Bendigo","Australia","Victoria"
"Kathleen Romero",14019,"F","30000.00","Cranbourne","Australia","Victoria"
"Kristine Dominguez",14020,"F","80000.00","South Melbourne","Australia","Victoria"
"Michelle Richardson",14021,"F","30000.00","Kirkland","United States","Washington"
"Taylor Lee",14022,"F","30000.00","Marysville","United States","Washington"
"Beth Carlson",14023,"F","30000.00","Concord","United States","California"
"Hannah Moore",14024,"F","60000.00","Oakland","United States","California"
"Robert Alexander",14025,"M","30000.00","Seattle","United States","Washington"
"Chloe Butler",14026,"F","30000.00","Renton","United States","Washington"
"Carlos Perez",14027,"M","70000.00","Tacoma","United States","Washington"
"Patricia Srini",14028,"F","70000.00","Bellingham","United States","Washington"
"Christina Morris",14029,"F","60000.00","Lake Oswego","United States","Oregon"
"Lawrence Sanz",14030,"M","80000.00","Warrnambool","Australia","Victoria"
"Ruben Suarez",14031,"M","80000.00","Newcastle","Australia","New South Wales"
"Arthur Chandra",14032,"M","70000.00","Silverwater","Australia","New South Wales"
"Melinda Torres",14033,"F","80000.00","Findon","Australia","South Australia"
"Dennis Liang",14034,"M","130000.00","North Sydney","Australia","New South Wales"
"Hunter Hughes",14035,"M","80000.00","Imperial Beach","United States","California"
"Amanda Torres",14036,"F","60000.00","Oregon City","United States","Oregon"
"Lydia Sara",14037,"F","60000.00","Berkeley","United States","California"
"Madison Foster",14038,"F","130000.00","Sydney","Australia","New South Wales"
"Nathan Wang",14039,"M","160000.00","Sunbury","Australia","Victoria"
"Stephanie Morris",14040,"F","80000.00","El Cajon","United States","California"
"Danielle Bell",14041,"F","80000.00","Westminster","Canada","British Columbia"
"Stephanie Adams",14042,"F","60000.00","Yakima","United States","Washington"
"Mary Gonzalez",14043,"F","60000.00","Portland","United States","Oregon"
"Thomas Wright",14044,"M","70000.00","Oakland","United States","California"
"Tanya Ramos",14045,"F","80000.00","Brisbane","Australia","Queensland"
"Cheryl Sanz",14046,"F","90000.00","Melton","Australia","Victoria"
"Linda Alvarez",14047,"F","70000.00","Wollongong","Australia","New South Wales"
"Wyatt Mitchell",14048,"M","60000.00","Bendigo","Australia","Victoria"
"Gina Hernandez",14049,"F","60000.00","Gold Coast","Australia","Queensland"
"Manuel Lopez",14050,"M","100000.00","Cloverdale","Australia","South Australia"
"Nathaniel Rivera",14051,"M","100000.00","Hobart","Australia","Tasmania"
"Jorge Ma",14052,"M","110000.00","Rockhampton","Australia","Queensland"
"Tamara Huang",14053,"F","110000.00","St. Leonards","Australia","New South Wales"
"Reginald Martin",14054,"M","60000.00","Warrnambool","Australia","Victoria"
"Alejandro Kumar",14055,"M","60000.00","Rhodes","Australia","New South Wales"
"Nelson Sanz",14056,"M","60000.00","Bendigo","Australia","Victoria"
"Lance Alonso",14057,"M","90000.00","North Ryde","Australia","New South Wales"
"Johnny Anand",14058,"M","70000.00","Brisbane","Australia","Queensland"
"Rodney Ramos",14059,"M","80000.00","Melbourne","Australia","Victoria"
"Cedric Sharma",14060,"M","80000.00","Melbourne","Australia","Victoria"
"Naomi Torres",14061,"F","80000.00","St. Leonards","Australia","New South Wales"
"Madison Clark",14062,"F","70000.00","Hervey Bay","Australia","Queensland"
"Patrick Sands",14063,"F","70000.00","Matraville","Australia","New South Wales"
"Stacey Li",14064,"F","70000.00","Townsville","Australia","Queensland"
"Samuel Diaz",14065,"M","70000.00","Gold Coast","Australia","Queensland"
"Melody Jimenez",14066,"F","60000.00","Geelong","Australia","Victoria"
"Larry Sanz",14067,"M","70000.00","Melbourne","Australia","Victoria"
"Brent McDonald",14068,"M","70000.00","North Sydney","Australia","New South Wales"
"Joy Serrano",14069,"F","70000.00","North Sydney","Australia","New South Wales"
"Ricky Alonso",14070,"M","90000.00","South Melbourne","Australia","Victoria"
"Jack Li",14071,"M","90000.00","Rockhampton","Australia","Queensland"
"Allen Smith",14072,"M","80000.00","Caloundra","Australia","Queensland"
"Gabriel Alexander",14073,"M","30000.00","Geelong","Australia","Victoria"
"Barbara Xu",14074,"F","10000.00","Gold Coast","Australia","Queensland"
"Robert Harris",14075,"M","30000.00","La Jolla","United States","California"
"Justin Ross",14076,"M","30000.00","Beaverton","United States","Oregon"
"Bryan Townsend",14077,"M","30000.00","Royal Oak","Canada","British Columbia"
"Ryan Alexander",14078,"M","40000.00","Haney","Canada","British Columbia"
"Lauren Price",14079,"F","40000.00","Metchosin","Canada","British Columbia"
"Cynthia Srini",14080,"F","40000.00","Beaverton","United States","Oregon"
"Nicole Butler",14081,"F","30000.00","Oakland","United States","California"
"Johnny Jai",14082,"M","30000.00","Beaverton","United States","Oregon"
"Nathan Lopez",14083,"M","30000.00","Kirkland","United States","Washington"
"Robert Lal",14084,"M","30000.00","Haney","Canada","British Columbia"
"Nathan Garcia",14085,"M","30000.00","Issaquah","United States","Washington"
"Maurice Chander",14086,"M","10000.00","Brisbane","Australia","Queensland"
"Harold Garcia",14087,"M","40000.00","Townsville","Australia","Queensland"
"Alexandra Lopez",14088,"F","30000.00","Woodburn","United States","Oregon"
"Kaitlyn Gray",14089,"F","40000.00","El Cajon","United States","California"
"Jennifer Lewis",14090,"F","30000.00","Daly City","United States","California"
"Logan Thomas",14091,"M","30000.00","N. Vancouver","Canada","British Columbia"
"Maurice Nath",14092,"M","30000.00","Bellingham","United States","Washington"
"Jillian Arthur",14093,"F","30000.00","Beverly Hills","United States","California"
"Amanda Russell",14094,"F","40000.00","West Covina","United States","California"
"Paige Griffin",14095,"F","40000.00","National City","United States","California"
"Samuel Green",14096,"M","30000.00","Royal Oak","Canada","British Columbia"
"Johnathan Srini",14097,"M","40000.00","Ballard","United States","Washington"
"Allison Lopez",14098,"F","40000.00","Issaquah","United States","Washington"
"Rafael Lin",14099,"M","40000.00","Port Macquarie","Australia","New South Wales"
"Alisha Xu",14100,"F","40000.00","Sunbury","Australia","Victoria"
"Franklin Lal",14101,"M","40000.00","Newcastle","Australia","New South Wales"
"Lisa Huang",14102,"F","60000.00","North Ryde","Australia","New South Wales"
"Monique Blanco",14103,"F","40000.00","Port Macquarie","Australia","New South Wales"
"Sydney James",14104,"F","40000.00","Downey","United States","California"
"Jackson Zhang",14105,"M","40000.00","Lincoln Acres","United States","California"
"Melissa Hughes",14106,"F","40000.00","Oakland","United States","California"
"Alexandra Garcia",14107,"F","40000.00","Haney","Canada","British Columbia"
"Thomas Yang",14108,"M","40000.00","N. Vancouver","Canada","British Columbia"
"Aidan Gonzales",14109,"M","30000.00","San Diego","United States","California"
"Dakota Simmons",14110,"M","60000.00","Langley","Canada","British Columbia"
"Michael Anderson",14111,"M","70000.00","Oregon City","United States","Oregon"
"Charles Sanchez",14112,"M","70000.00","Colma","United States","California"
"Natalie Lopez",14113,"F","70000.00","Walla Walla","United States","Washington"
"Chloe Martin",14114,"F","70000.00","Coronado","United States","California"
"Samantha Gonzales",14115,"F","80000.00","Corvallis","United States","Oregon"
"Brianna Torres",14116,"F","80000.00","Sedro Woolley","United States","Washington"
"Emma Cook",14117,"F","80000.00","Yakima","United States","Washington"
"Elizabeth Ross",14118,"F","100000.00","Royal Oak","Canada","British Columbia"
"Paige Cooper",14119,"F","110000.00","Langley","Canada","British Columbia"
"Gabrielle Cooper",14120,"F","120000.00","Berkeley","United States","California"
"Devon Goel",14121,"M","130000.00","Bremerton","United States","Washington"
"Kaitlyn Miller",14122,"F","80000.00","Long Beach","United States","California"
"Erick Mehta",14123,"M","10000.00","East Brisbane","Australia","Queensland"
"Justin Li",14124,"M","10000.00","Goulburn","Australia","New South Wales"
"Shane Gonzalez",14125,"M","10000.00","Findon","Australia","South Australia"
"Andy Dominguez",14126,"M","10000.00","Sunbury","Australia","Victoria"
"Lacey Zhang",14127,"F","10000.00","Caloundra","Australia","Queensland"
"Ian Harris",14128,"M","10000.00","Rockhampton","Australia","Queensland"
"Monica Martinez",14129,"F","20000.00","Silverwater","Australia","New South Wales"
"Rebekah Serrano",14130,"F","20000.00","Malabar","Australia","New South Wales"
"Javier Navarro",14131,"M","20000.00","Coffs Harbour","Australia","New South Wales"
"Brandon Ross",14132,"M","10000.00","Sunbury","Australia","Victoria"
"Ricardo Kumar",14133,"M","20000.00","Hervey Bay","Australia","Queensland"
"Cassandra Fernandez",14134,"F","20000.00","Cloverdale","Australia","South Australia"
"Clayton Xie",14135,"M","20000.00","Roncq","France","Nord"
"Louis She",14136,"M","20000.00","Saint-Denis","France","Seine Saint Denis"
"Joy Ruiz",14137,"F","20000.00","Bottrop","Germany","Nordrhein-Westfalen"
"Vincent He",14138,"M","20000.00","Kassel","Germany","Hessen"
"Meredith Sai",14139,"F","30000.00","Kiel","Germany","Saarland"
"Meagan Sai",14140,"F","30000.00","Paderborn","Germany","Nordrhein-Westfalen"
"Ana Bryant",14141,"F","10000.00","Villeneuve-d'Ascq","France","Nord"
"Damien Zheng",14142,"M","10000.00","Bonn","Germany","Nordrhein-Westfalen"
"Jill Sandoval",14143,"F","20000.00","London","United Kingdom","England"
"Lee Gutierrez",14144,"M","10000.00","Cergy","France","Val d'Oise"
"Jessie Ye",14145,"M","10000.00","Paris","France","Seine (Paris)"
"Toni Sara",14146,"F","20000.00","Gateshead","United Kingdom","England"
"Marcus Rivera",14147,"M","30000.00","Bottrop","Germany","Nordrhein-Westfalen"
"Shaun Sharma",14148,"M","30000.00","Kassel","Germany","Hessen"
"Donald Srini",14149,"M","30000.00","Ingolstadt","Germany","Bayern"
"Billy Munoz",14150,"M","30000.00","Leeds","United Kingdom","England"
"Marie Martin",14151,"F","10000.00","Roncq","France","Nord"
"Luke Turner",14152,"M","20000.00","Villeneuve-d'Ascq","France","Nord"
"Dylan Lewis",14153,"M","20000.00","Hof","Germany","Bayern"
"Willie Gao",14154,"M","30000.00","Verrieres Le Buisson","France","Essonne"
"Olivia Morris",14155,"F","40000.00","Newcastle upon Tyne","United Kingdom","England"
"Preston Gonzalez",14156,"M","20000.00","London","United Kingdom","England"
"Willie Xu",14157,"M","30000.00","London","United Kingdom","England"
"Craig Moreno",14158,"M","40000.00","York","United Kingdom","England"
"Jay Malhotra",14159,"M","40000.00","Bracknell","United Kingdom","England"
"Brittney Hu",14160,"F","40000.00","Erlangen","Germany","Bayern"
"Claudia Li",14161,"F","40000.00","Eilenburg","Germany","Brandenburg"
"Krista Martin",14189,"F","90000.00","Dresden","Germany","Hessen"
"Brett Garcia",14162,"M","40000.00","Frankfurt","Germany","Hessen"
"Ebony Garcia",14163,"F","40000.00","Berlin","Germany","Nordrhein-Westfalen"
"Kari Smith",14164,"F","50000.00","Duesseldorf","Germany","Hessen"
"Natalie Gray",14165,"F","50000.00","Newcastle upon Tyne","United Kingdom","England"
"Elizabeth Jenkins",14166,"F","10000.00","Saint Germain en Laye","France","Yveline"
"Pamela Subram",14167,"F","10000.00","Frankfurt","Germany","Bayern"
"Edwin Guo",14168,"M","20000.00","Chatou","France","Yveline"
"Carmen Martinez",14169,"F","10000.00","Saint Germain en Laye","France","Yveline"
"Rebekah Moreno",14170,"F","10000.00","Saint Ouen","France","Somme"
"Michele Lal",14171,"F","90000.00","Frankfurt","Germany","Bayern"
"Carla Garcia",14172,"F","130000.00","London","United Kingdom","England"
"Tonya Shan",14173,"F","70000.00","Verrieres Le Buisson","France","Essonne"
"Alberto Diaz",14174,"M","70000.00","Berlin","Germany","Hessen"
"Cynthia Mehta",14175,"F","110000.00","Bury","United Kingdom","England"
"Mindy Rai",14176,"F","80000.00","Bobigny","France","Seine Saint Denis"
"Kenneth Nara",14177,"M","80000.00","Dunkerque","France","Nord"
"Katie Raje",14178,"F","90000.00","Paris","France","Seine (Paris)"
"Claudia Xu",14179,"F","100000.00","Braunschweig","Germany","Nordrhein-Westfalen"
"Henry Patel",14180,"M","100000.00","Erlangen","Germany","Bayern"
"Adriana Chandra",14181,"F","100000.00","Frankfurt","Germany","Hessen"
"Steve Lin",14182,"M","110000.00","Frankfurt am Main","Germany","Hamburg"
"Robyn Carlson",14183,"F","130000.00","Milton Keynes","United Kingdom","England"
"Caleb Jenkins",14184,"M","170000.00","Runcorn","United Kingdom","England"
"Frank Vazquez",14185,"M","80000.00","Les Ulis","France","Essonne"
"Katrina Tang",14186,"F","80000.00","Paris","France","Seine (Paris)"
"Eugene Lu",14187,"M","100000.00","Hamburg","Germany","Hessen"
"Meagan Sanchez",14188,"F","80000.00","Paris","France","Seine (Paris)"
"Candace Patel",14190,"F","90000.00","München","Germany","Nordrhein-Westfalen"
"Derrick Martin",14191,"M","160000.00","Reading","United Kingdom","England"
"Ronald Kapoor",14192,"M","90000.00","Pantin","France","Seine Saint Denis"
"Pamela Vance",14193,"F","100000.00","Duesseldorf","Germany","Hessen"
"Cassie Rai",14194,"F","120000.00","London","United Kingdom","England"
"Clinton Blanco",14195,"M","130000.00","London","United Kingdom","England"
"Felicia Dominguez",14196,"F","160000.00","Watford","United Kingdom","England"
"Frank Gill",14197,"M","100000.00","Braunschweig","Germany","Nordrhein-Westfalen"
"Daisy Romero",14198,"F","110000.00","Hamburg","Germany","Hessen"
"Samuel Anderson",14199,"M","130000.00","Bury","United Kingdom","England"
"Colleen Goel",14200,"F","70000.00","Colombes","France","Hauts de Seine"
"Marie Serrano",14201,"F","80000.00","Paris","France","Seine (Paris)"
"Clayton Zeng",14202,"M","90000.00","Saarbrücken","Germany","Saarland"
"Seth Rodriguez",14203,"M","80000.00","Bobigny","France","Seine Saint Denis"
"Chelsea Sara",14204,"F","80000.00","Lieusaint","France","Seine et Marne"
"Wesley Wu",14205,"M","90000.00","Sèvres","France","Hauts de Seine"
"Edwin West",14206,"M","100000.00","Kassel","Germany","Hessen"
"José Saraiva",14207,"M","110000.00","München","Germany","Hessen"
"Eugene Xu",14208,"M","120000.00","Gloucestershire","United Kingdom","England"
"Craig Ramos",14209,"M","60000.00","Lane Cove","Australia","New South Wales"
"Jenny Tang",14210,"F","80000.00","South Melbourne","Australia","Victoria"
"Emma Bradley",14211,"F","70000.00","Gold Coast","Australia","Queensland"
"Erick Madan",14212,"M","80000.00","Darlinghurst","Australia","New South Wales"
"Autumn Guo",14213,"F","80000.00","Milsons Point","Australia","New South Wales"
"Robyn Munoz",14214,"F","90000.00","Malabar","Australia","New South Wales"
"Stacey Yang",14215,"F","90000.00","Cloverdale","Australia","South Australia"
"Edwin Zheng",14216,"M","70000.00","Seaford","Australia","Victoria"
"Terrance Lopez",14217,"M","80000.00","Coffs Harbour","Australia","New South Wales"
"Karl Kumar",14218,"M","90000.00","Sunbury","Australia","Victoria"
"Christy Ye",14219,"F","90000.00","North Sydney","Australia","New South Wales"
"Latasha Romero",14220,"F","100000.00","Lane Cove","Australia","New South Wales"
"Glenn Zhao",14221,"M","80000.00","St. Leonards","Australia","New South Wales"
"Dawn Zhang",14222,"F","80000.00","Darlinghurst","Australia","New South Wales"
"Larry Rubio",14223,"M","80000.00","Hobart","Australia","Tasmania"
"Tamara She",14224,"F","110000.00","Lane Cove","Australia","New South Wales"
"Alisha Chen",14225,"F","90000.00","Hawthorne","Australia","Queensland"
"Heidi Mehta",14226,"F","90000.00","Lavender Bay","Australia","New South Wales"
"Alison Xu",14227,"F","100000.00","Milsons Point","Australia","New South Wales"
"Arturo Raje",14228,"M","80000.00","Melbourne","Australia","Victoria"
